index,well,distance,b,sy,FFT2019,FFT2020,FFT_aver,12-hmf2018,12-hmf2019,12-hmf2020,12-hmf_aver,12-hmf2007,12-hmf2010
1,NI,12,39.9,0.375,,0.000579705,0.000579705,,0.000457351,,0.000457351,,
2,PVP,41,40.3,0.358,0.001495805,0.001583073,0.001539439,0.001337565,0.001264503,0.001972877,0.001524982,,
3,MBM,59,38.7,0.371,0.040637716,0.039787385,0.04021255,0.029123011,,,0.029123011,,
4,IBP,74,40.3,0.358,0.005206144,0.005206415,0.005206279,0.00491564,0.005842897,,0.005379268,,
5,SWP,89,37.1,0.341,0.013541431,0.014756663,0.014149047,0.011468769,0.011488129,0.019547235,0.014168044,,
6,FP,121,38.8,0.344,0.019473641,0.018809749,0.019141695,0.017636144,0.056757442,0.02228619,0.032226592,,
7,NSP,128,38.7,0.344,0.019722075,0.019958024,0.019840049,0.018692328,0.022132007,0.022353722,0.021059352,,
8,AFP,139,39.3,0.371,0.174093081,0.153587844,0.163840462,0.117617318,,,0.117617318,,
9,CP,148,39.6,0.375,0.01124622,0.011519274,0.011382747,0.010465071,,0.01342601,0.01194554,,
10,LG,298,38.6,0.358,0.110414784,0.108542981,0.109478883,0.101503608,0.27251427,0.126549625,0.166855834,,
11,FLP,598,38.4,0.343,4.253547098,3.446394203,3.84997065,2.421137509,,5.92728869,4.1742131,,
12,MBHS,633,37.9,0.371,1.243208078,1.299157115,1.271182597,0.967749118,,,0.967749118,,
13,G-3549,877,28.9,0.357,,,,,,,0.139055835,0.138337288,0.139774381
